"country","year","deaths","notes"
"Bahrain",2015,2787,NA
"Bahrain",2016,2858,NA
"Bahrain",2017,2902,NA
"Bahrain",2018,3052,NA
"Bahrain",2019,3010,NA
"Bahrain",2020,3488,NA
"Bahrain",2021,4601,NA
"Bahrain",2022,3521,NA
