quarter,deaths_2022,deaths_2021,deaths_2020,deaths_2019,deaths_2018
1,5544,4739,3876,4440,4123
2,3473,4802,3548,3552,3522
3,,3789,3560,3300,3241
4,,5402,5605,3562,3613
