"country","year","deaths"
"Nicaragua",2015,23540
"Nicaragua",2016,23738
"Nicaragua",2017,24300
"Nicaragua",2018,24296
"Nicaragua",2019,25338
"Nicaragua",2020,33650
"Nicaragua",2021,33582
