"country","year","deaths","notes"
"Honduras",2015,29601,NA
"Honduras",2016,26438,NA
"Honduras",2017,24836,NA
"Honduras",2018,29521,NA
"Honduras",2019,29479,NA
"Honduras",2020,28219,NA
"Honduras",2021,45722,NA
"Honduras",2022,34257,NA
