"country","year","deaths","notes"
"Curacao",2015,1398,NA
"Curacao",2016,1482,NA
"Curacao",2017,1420,NA
"Curacao",2018,1399,NA
"Curacao",2019,1387,NA
"Curacao",2020,1440,NA
"Curacao",2021,1687,NA
"Curacao",2022,1575,NA
"Curacao",2023,1510,NA
"Curacao",2024,1570,NA
